[Epoch 1/130] T-Loss: 1.7885 | T-Acc: 34.84% || V-Loss: 1.5262 | V-Acc: 45.64% | Time: 7894 ms
[Epoch 2/130] T-Loss: 1.4283 | T-Acc: 48.98% || V-Loss: 1.3291 | V-Acc: 52.45% | Time: 8236 ms
[Epoch 3/130] T-Loss: 1.2920 | T-Acc: 54.49% || V-Loss: 1.2756 | V-Acc: 55.71% | Time: 8800 ms
[Epoch 4/130] T-Loss: 1.2058 | T-Acc: 57.84% || V-Loss: 1.2107 | V-Acc: 57.50% | Time: 8746 ms
[Epoch 5/130] T-Loss: 1.1555 | T-Acc: 59.49% || V-Loss: 1.1959 | V-Acc: 58.23% | Time: 8948 ms
[Epoch 6/130] T-Loss: 1.1052 | T-Acc: 61.38% || V-Loss: 1.2604 | V-Acc: 57.25% | Time: 8826 ms
[Epoch 7/130] T-Loss: 1.0804 | T-Acc: 62.52% || V-Loss: 1.1382 | V-Acc: 60.70% | Time: 7867 ms
[Epoch 8/130] T-Loss: 1.0519 | T-Acc: 63.45% || V-Loss: 1.1170 | V-Acc: 61.63% | Time: 8550 ms
[Epoch 9/130] T-Loss: 1.0214 | T-Acc: 64.61% || V-Loss: 1.2025 | V-Acc: 59.34% | Time: 8897 ms
[Epoch 10/130] T-Loss: 1.0002 | T-Acc: 65.11% || V-Loss: 1.1314 | V-Acc: 61.03% | Time: 8760 ms
[Epoch 11/130] T-Loss: 0.9834 | T-Acc: 65.65% || V-Loss: 1.1290 | V-Acc: 62.27% | Time: 8840 ms
[Epoch 12/130] T-Loss: 0.9666 | T-Acc: 66.62% || V-Loss: 1.1252 | V-Acc: 61.07% | Time: 8871 ms
[Epoch 13/130] T-Loss: 0.9454 | T-Acc: 67.18% || V-Loss: 1.1427 | V-Acc: 61.57% | Time: 8922 ms
[Epoch 14/130] T-Loss: 0.9355 | T-Acc: 67.46% || V-Loss: 1.1141 | V-Acc: 63.21% | Time: 8878 ms
[Epoch 15/130] T-Loss: 0.9142 | T-Acc: 68.08% || V-Loss: 1.1469 | V-Acc: 62.18% | Time: 8822 ms
[Epoch 16/130] T-Loss: 0.9128 | T-Acc: 68.09% || V-Loss: 1.1156 | V-Acc: 62.49% | Time: 8950 ms
[Epoch 17/130] T-Loss: 0.8951 | T-Acc: 68.97% || V-Loss: 1.1560 | V-Acc: 60.65% | Time: 9006 ms
[Epoch 18/130] T-Loss: 0.8882 | T-Acc: 69.18% || V-Loss: 1.1219 | V-Acc: 62.65% | Time: 8924 ms
[Epoch 19/130] T-Loss: 0.8728 | T-Acc: 69.50% || V-Loss: 1.1532 | V-Acc: 61.67% | Time: 8938 ms
[Epoch 20/130] T-Loss: 0.8663 | T-Acc: 69.73% || V-Loss: 1.1626 | V-Acc: 61.68% | Time: 8944 ms
[Epoch 21/130] T-Loss: 0.8661 | T-Acc: 70.32% || V-Loss: 1.1162 | V-Acc: 63.08% | Time: 8934 ms
[Epoch 22/130] T-Loss: 0.8545 | T-Acc: 70.19% || V-Loss: 1.1134 | V-Acc: 62.62% | Time: 9169 ms
[Epoch 23/130] T-Loss: 0.8442 | T-Acc: 70.71% || V-Loss: 1.1851 | V-Acc: 61.64% | Time: 9532 ms
[Epoch 24/130] T-Loss: 0.8410 | T-Acc: 70.68% || V-Loss: 1.2165 | V-Acc: 60.37% | Time: 8083 ms
[Epoch 25/130] T-Loss: 0.8388 | T-Acc: 70.68% || V-Loss: 1.2205 | V-Acc: 60.45% | Time: 7773 ms
[Epoch 26/130] T-Loss: 0.8485 | T-Acc: 70.38% || V-Loss: 1.1869 | V-Acc: 61.41% | Time: 7738 ms
[Epoch 27/130] T-Loss: 0.8417 | T-Acc: 70.98% || V-Loss: 1.1778 | V-Acc: 62.20% | Time: 7741 ms
[Epoch 28/130] T-Loss: 0.8416 | T-Acc: 70.65% || V-Loss: 1.2271 | V-Acc: 60.78% | Time: 8225 ms
[Epoch 29/130] T-Loss: 0.8358 | T-Acc: 71.11% || V-Loss: 1.1506 | V-Acc: 61.65% | Time: 8806 ms
[Epoch 30/130] T-Loss: 0.8145 | T-Acc: 71.81% || V-Loss: 1.1453 | V-Acc: 63.05% | Time: 7726 ms
[Epoch 31/130] T-Loss: 0.8340 | T-Acc: 70.74% || V-Loss: 1.2066 | V-Acc: 60.86% | Time: 7769 ms
[Epoch 32/130] T-Loss: 0.8148 | T-Acc: 71.74% || V-Loss: 1.1655 | V-Acc: 63.14% | Time: 8528 ms
[Epoch 33/130] T-Loss: 0.8097 | T-Acc: 71.86% || V-Loss: 1.1660 | V-Acc: 63.39% | Time: 8946 ms
[Epoch 34/130] T-Loss: 0.7983 | T-Acc: 72.36% || V-Loss: 1.1550 | V-Acc: 62.05% | Time: 9046 ms
[Epoch 35/130] T-Loss: 0.7938 | T-Acc: 72.54% || V-Loss: 1.2188 | V-Acc: 62.10% | Time: 9084 ms
[Epoch 36/130] T-Loss: 0.7859 | T-Acc: 72.76% || V-Loss: 1.2447 | V-Acc: 60.89% | Time: 9156 ms
[Epoch 37/130] T-Loss: 0.7848 | T-Acc: 72.94% || V-Loss: 1.1642 | V-Acc: 61.81% | Time: 9034 ms
[Epoch 38/130] T-Loss: 0.7754 | T-Acc: 73.25% || V-Loss: 1.1501 | V-Acc: 63.51% | Time: 8826 ms
[Epoch 39/130] T-Loss: 0.7782 | T-Acc: 73.10% || V-Loss: 1.2511 | V-Acc: 60.68% | Time: 8012 ms
[Epoch 40/130] T-Loss: 0.7710 | T-Acc: 73.37% || V-Loss: 1.1798 | V-Acc: 62.39% | Time: 7739 ms

[Scheduler] Learning Rate decayed to: 0.000500
[Epoch 41/130] T-Loss: 0.6610 | T-Acc: 76.89% || V-Loss: 1.1902 | V-Acc: 64.65% | Time: 7683 ms
[Epoch 42/130] T-Loss: 0.6435 | T-Acc: 77.92% || V-Loss: 1.1836 | V-Acc: 64.51% | Time: 7713 ms
[Epoch 43/130] T-Loss: 0.6285 | T-Acc: 78.31% || V-Loss: 1.2043 | V-Acc: 64.26% | Time: 7702 ms
[Epoch 44/130] T-Loss: 0.6187 | T-Acc: 78.61% || V-Loss: 1.2043 | V-Acc: 64.06% | Time: 8273 ms
[Epoch 45/130] T-Loss: 0.6003 | T-Acc: 79.13% || V-Loss: 1.2210 | V-Acc: 64.36% | Time: 8968 ms
[Epoch 46/130] T-Loss: 0.5997 | T-Acc: 79.10% || V-Loss: 1.2334 | V-Acc: 64.43% | Time: 9053 ms
[Epoch 47/130] T-Loss: 0.5919 | T-Acc: 79.63% || V-Loss: 1.2520 | V-Acc: 63.26% | Time: 9005 ms
[Epoch 48/130] T-Loss: 0.5933 | T-Acc: 79.49% || V-Loss: 1.2394 | V-Acc: 64.23% | Time: 8514 ms
[Epoch 49/130] T-Loss: 0.5901 | T-Acc: 79.50% || V-Loss: 1.2852 | V-Acc: 63.09% | Time: 7733 ms
[Epoch 50/130] T-Loss: 0.5837 | T-Acc: 79.86% || V-Loss: 1.2945 | V-Acc: 63.17% | Time: 8545 ms
[Epoch 51/130] T-Loss: 0.5776 | T-Acc: 79.94% || V-Loss: 1.2906 | V-Acc: 62.67% | Time: 8918 ms
[Epoch 52/130] T-Loss: 0.5680 | T-Acc: 80.29% || V-Loss: 1.2854 | V-Acc: 63.80% | Time: 7854 ms
[Epoch 53/130] T-Loss: 0.5614 | T-Acc: 80.76% || V-Loss: 1.2927 | V-Acc: 63.26% | Time: 7750 ms
[Epoch 54/130] T-Loss: 0.5643 | T-Acc: 80.56% || V-Loss: 1.2517 | V-Acc: 63.96% | Time: 7736 ms
[Epoch 55/130] T-Loss: 0.5482 | T-Acc: 81.19% || V-Loss: 1.3539 | V-Acc: 63.26% | Time: 8202 ms
[Epoch 56/130] T-Loss: 0.5467 | T-Acc: 81.25% || V-Loss: 1.3409 | V-Acc: 63.36% | Time: 8966 ms
[Epoch 57/130] T-Loss: 0.5340 | T-Acc: 81.51% || V-Loss: 1.3546 | V-Acc: 62.93% | Time: 9083 ms
[Epoch 58/130] T-Loss: 0.5484 | T-Acc: 81.15% || V-Loss: 1.3403 | V-Acc: 63.25% | Time: 9084 ms
[Epoch 59/130] T-Loss: 0.5414 | T-Acc: 81.53% || V-Loss: 1.3482 | V-Acc: 62.78% | Time: 8317 ms
[Epoch 60/130] T-Loss: 0.5326 | T-Acc: 81.82% || V-Loss: 1.3288 | V-Acc: 63.11% | Time: 8263 ms
[Epoch 61/130] T-Loss: 0.5321 | T-Acc: 81.69% || V-Loss: 1.3355 | V-Acc: 64.03% | Time: 8947 ms
[Epoch 62/130] T-Loss: 0.5307 | T-Acc: 81.71% || V-Loss: 1.3628 | V-Acc: 63.79% | Time: 9084 ms
[Epoch 63/130] T-Loss: 0.5200 | T-Acc: 82.15% || V-Loss: 1.3340 | V-Acc: 63.08% | Time: 8873 ms
[Epoch 64/130] T-Loss: 0.5142 | T-Acc: 82.26% || V-Loss: 1.3845 | V-Acc: 63.79% | Time: 8375 ms
[Epoch 65/130] T-Loss: 0.5109 | T-Acc: 82.67% || V-Loss: 1.3981 | V-Acc: 62.74% | Time: 7717 ms
[Epoch 66/130] T-Loss: 0.5233 | T-Acc: 82.02% || V-Loss: 1.3407 | V-Acc: 63.80% | Time: 7687 ms
[Epoch 67/130] T-Loss: 0.5032 | T-Acc: 82.65% || V-Loss: 1.4137 | V-Acc: 62.94% | Time: 8201 ms
[Epoch 68/130] T-Loss: 0.5153 | T-Acc: 82.46% || V-Loss: 1.4110 | V-Acc: 63.18% | Time: 8329 ms
[Epoch 69/130] T-Loss: 0.5074 | T-Acc: 82.59% || V-Loss: 1.4020 | V-Acc: 63.09% | Time: 8329 ms
[Epoch 70/130] T-Loss: 0.4981 | T-Acc: 82.89% || V-Loss: 1.4128 | V-Acc: 63.19% | Time: 7715 ms
[Epoch 71/130] T-Loss: 0.5043 | T-Acc: 82.56% || V-Loss: 1.3973 | V-Acc: 63.85% | Time: 7714 ms
[Epoch 72/130] T-Loss: 0.5020 | T-Acc: 82.97% || V-Loss: 1.3715 | V-Acc: 63.02% | Time: 7770 ms
[Epoch 73/130] T-Loss: 0.4951 | T-Acc: 83.23% || V-Loss: 1.4138 | V-Acc: 63.80% | Time: 7711 ms
[Epoch 74/130] T-Loss: 0.4894 | T-Acc: 83.25% || V-Loss: 1.4319 | V-Acc: 63.15% | Time: 7713 ms
[Epoch 75/130] T-Loss: 0.4915 | T-Acc: 83.15% || V-Loss: 1.4349 | V-Acc: 62.67% | Time: 8219 ms
[Epoch 76/130] T-Loss: 0.4922 | T-Acc: 83.25% || V-Loss: 1.4732 | V-Acc: 62.32% | Time: 7986 ms
[Epoch 77/130] T-Loss: 0.4837 | T-Acc: 83.40% || V-Loss: 1.4599 | V-Acc: 63.06% | Time: 8002 ms
[Epoch 78/130] T-Loss: 0.4820 | T-Acc: 83.46% || V-Loss: 1.4905 | V-Acc: 61.89% | Time: 8555 ms
[Epoch 79/130] T-Loss: 0.4835 | T-Acc: 83.33% || V-Loss: 1.4782 | V-Acc: 62.29% | Time: 7997 ms
[Epoch 80/130] T-Loss: 0.4805 | T-Acc: 83.64% || V-Loss: 1.4480 | V-Acc: 62.55% | Time: 7703 ms

[Scheduler] Learning Rate decayed to: 0.000250
[Epoch 81/130] T-Loss: 0.3998 | T-Acc: 86.72% || V-Loss: 1.4904 | V-Acc: 64.04% | Time: 7701 ms
[Epoch 82/130] T-Loss: 0.3827 | T-Acc: 87.26% || V-Loss: 1.5450 | V-Acc: 63.55% | Time: 7742 ms
[Epoch 83/130] T-Loss: 0.3754 | T-Acc: 87.51% || V-Loss: 1.5467 | V-Acc: 63.84% | Time: 7715 ms
[Epoch 84/130] T-Loss: 0.3708 | T-Acc: 87.56% || V-Loss: 1.5619 | V-Acc: 63.50% | Time: 8130 ms
[Epoch 85/130] T-Loss: 0.3653 | T-Acc: 87.92% || V-Loss: 1.5798 | V-Acc: 63.34% | Time: 8915 ms
[Epoch 86/130] T-Loss: 0.3668 | T-Acc: 87.88% || V-Loss: 1.5685 | V-Acc: 63.73% | Time: 7685 ms
[Epoch 87/130] T-Loss: 0.3617 | T-Acc: 87.99% || V-Loss: 1.6162 | V-Acc: 63.47% | Time: 7918 ms
[Epoch 88/130] T-Loss: 0.3582 | T-Acc: 88.10% || V-Loss: 1.6017 | V-Acc: 63.20% | Time: 7720 ms
[Epoch 89/130] T-Loss: 0.3506 | T-Acc: 88.42% || V-Loss: 1.5724 | V-Acc: 63.64% | Time: 8366 ms
[Epoch 90/130] T-Loss: 0.3528 | T-Acc: 88.31% || V-Loss: 1.6464 | V-Acc: 63.50% | Time: 7888 ms
[Epoch 91/130] T-Loss: 0.3564 | T-Acc: 88.04% || V-Loss: 1.6073 | V-Acc: 63.31% | Time: 7715 ms
[Epoch 92/130] T-Loss: 0.3485 | T-Acc: 88.53% || V-Loss: 1.6315 | V-Acc: 62.60% | Time: 8530 ms
[Epoch 93/130] T-Loss: 0.3432 | T-Acc: 88.72% || V-Loss: 1.6230 | V-Acc: 63.07% | Time: 9015 ms
[Epoch 94/130] T-Loss: 0.3399 | T-Acc: 88.96% || V-Loss: 1.6698 | V-Acc: 62.56% | Time: 9016 ms
[Epoch 95/130] T-Loss: 0.3358 | T-Acc: 88.89% || V-Loss: 1.6902 | V-Acc: 62.51% | Time: 8571 ms
[Epoch 96/130] T-Loss: 0.3323 | T-Acc: 89.07% || V-Loss: 1.7009 | V-Acc: 62.53% | Time: 7980 ms
[Epoch 97/130] T-Loss: 0.3388 | T-Acc: 88.90% || V-Loss: 1.7004 | V-Acc: 63.16% | Time: 8949 ms
